Temp 0C,RH %,SM %,IM%,TM%,VM%,ASH%,FC%,Gross Calorific Value
30,48,2.566788895,4.55,7,28.720905,36.30918,30.419915,4476.427215
30,42,4.452592981,4.55,8.8,23.27071,41.759375,30.419915,3963.476663
32,64,3.941405838,5.11,8.85,27.337809,37.329726,30.222465,4298.863908
31,54,3.448275862,4.88,8.16,26.567016,38.723352,29.829632,4201.180203
31,54,4.352396972,4.88,9.02,26.643112,43.08936,25.387528,3790.268994
33,47,4.562657696,4.88,9.22,24.911928,43.098872,27.1092,3789.373763
32,50,4.404962153,4.88,9.07,26.405312,42.28084,26.433848,3866.363663
32,50,4.594196804,4.88,9.25,26.310192,36.602176,32.207632,4400.816804
33,48,4.583683768,4.88,9.24,26.024832,40.302344,28.792824,4052.571792
33,54,4.489066442,4.88,9.15,30.371816,27.270904,37.47728,5279.038799
33,52,4.289318755,4.88,8.96,28.0604,35.28952,31.77008,4524.358736
33,52,4.089571068,4.88,8.77,28.317224,33.282488,33.520288,4713.252559
33,56,3.490328007,4.88,8.2,27.44212,30.600104,37.077776,4965.707812
32,51,4.289318755,4.88,8.96,25.339968,38.866032,30.914,4187.751732
32,47,4.26023085,4.7,8.76,27.53217,31.80161,35.96622,4878.827673
32,47,3.934942288,4.7,8.45,28.15162,32.04939,35.09899,4855.507611
32,42,4.763903463,4.7,9.24,27.17003,35.21335,32.91662,4557.728351
34,36,4.039874082,4.7,8.55,28.38034,30.21963,36.70003,5027.717303
34,39,4.197271773,4.7,8.7,27.68465,30.03856,37.57679,5044.758887
34,36,4.050367261,4.7,8.56,26.9699,33.1644,35.1657,4750.56733
35,50,4.092339979,4.7,8.6,26.54105,38.64415,30.1148,4234.835179
35,46,3.840503673,4.7,8.36,26.79836,34.08881,34.41283,4663.565558
35,42,3.746065058,4.7,8.27,26.66494,35.7375,32.89756,4508.39745
34,57,3.735571878,4.7,8.26,27.57029,32.96427,34.76544,4769.402765
33,57,4.123819517,4.7,8.63,29.74313,29.49535,36.06152,5095.883639
33,59,3.14795383,4.7,7.7,27.51311,35.91857,31.86832,4491.355866
32,55,3.70409234,4.7,8.23,25.43557,40.54062,29.32381,4056.347008
33,52,4.190355864,5.02,9,27.572694,37.127682,30.279624,4330.979881
33,52,3.979785218,5.02,8.8,28.190064,30.991974,35.797962,4908.448175
33,56,3.558643925,5.02,8.4,25.986528,38.238948,30.754524,4226.39197
32,51,3.874499895,5.02,8.7,28.133076,30.526572,36.320352,4952.24995
32,47,4.085070541,5.02,8.9,26.49942,33.613422,34.867158,4661.727975
32,47,4.03242788,5.02,8.85,26.708376,37.298646,30.972978,4314.889433
32,42,3.621815119,5.02,8.46,27.933618,32.454666,34.591716,4770.785455
34,36,4.400926511,5.02,9.2,23.165622,35.551014,36.263364,4479.369566
34,39,3.625853915,4.85,8.3,25.95692,36.090395,33.102685,4453.350384
34,36,4.151339989,4.85,8.8,27.42223,34.130305,33.597465,4637.826215
35,50,3.962165003,4.85,8.62,28.39276,34.606055,32.151185,4593.050528
35,46,3.541776143,4.85,8.22,26.68006,35.443375,33.026565,4514.245319
35,42,3.5207567,4.85,8.2,25.414565,35.253075,34.48236,4532.155593
34,57,3.23699422,4.85,7.93,26.042555,35.75737,33.350075,4484.693365
33,57,3.373620599,4.85,8.06,27.23193,35.405315,32.512755,4517.827373
33,59,3.384130321,4.85,8.07,27.869435,36.623235,30.65733,4403.201615
32,55,3.047819233,4.85,7.75,25.072025,37.593765,32.48421,4311.859213
31,54,3.375039428,4.89,8.1,26.621289,37.682582,30.806129,4297.677712
31,54,3.368421053,5,8.2,26.524,35.9195,32.5565,4447.600338
33,47,3.473684211,5,8.3,28.177,27.5595,39.2635,5234.410098
32,50,3.926315789,5,8.73,29.6685,35.8815,29.45,4451.176746
32,50,3.736842105,5,8.55,32.1765,24.5955,38.228,5513.369922
33,48,3.684210526,5,8.5,31.274,22.8855,40.8405,5674.308282
33,54,4,5,8.8,28.6045,30.5235,35.872,4955.450274
33,52,4.105263158,5,8.9,28.291,34.6275,32.0815,4569.19821
33,52,4.052631579,5,8.85,28.9845,30.723,35.2925,4936.674132
32,51,3.947368421,5,8.75,27.7495,31.3405,35.91,4878.557502
32,47,3.368421053,5,8.2,22.8665,28.9465,43.187,5103.871206
32,42,3.894736842,5,8.7,30.229,32.832,31.939,4738.183488
34,36,4.210526316,5,9,26.1155,39.0925,29.792,4148.97027
34,36,3.473684211,5,8.3,24.9185,38.893,31.1885,4167.746412
35,40,3.578947368,5,8.4,26.125,37.6865,31.1885,4281.297366
35,42,3.578947368,5,8.4,27.5025,34.181,33.3165,4611.221004
33,59,3.578947368,5,8.4,29.507,28.348,37.145,5160.199632
32,61,3.20647603,4.88,7.93,26.719208,34.804408,33.596384,4570.015537
32,72,3.437762826,4.88,8.15,27.8226,33.10176,34.19564,4730.261956
32,63,4.289318755,4.88,8.96,28.355272,34.05296,32.711768,4640.738817
32,61,3.721614802,4.88,8.42,28.383808,32.464456,34.271736,4790.242459
32,60,3.879310345,4.88,8.57,27.356512,31.655936,36.107552,4866.337127
32,57,3.826745164,4.88,8.52,26.652624,34.756848,33.710528,4574.491694
32,62,3.8372582,4.88,8.53,27.575288,36.250232,31.29448,4433.940365
32,61,3.415659485,4.85,8.1,25.84274,35.367255,33.940005,4521.409428
32,72,3.258013663,4.85,7.95,26.96551,37.81261,30.37188,4291.262397
32,63,4.466631634,4.85,9.1,29.99128,30.35285,34.80587,4993.345169
32,61,3.415659485,4.85,8.1,28.31664,31.98943,34.84393,4839.316806
32,60,3.625853915,4.85,8.3,24.691425,37.81261,32.645965,4291.262397
32,57,3.678402522,4.85,8.35,30.6383,26.73715,37.77455,5333.640391
32,62,4.256437204,4.85,8.9,27.260475,36.95626,30.933265,4371.858634
32,64,3.5207567,4.85,8.2,28.14537,32.189245,34.815385,4820.511018
32,67,3.678402522,4.85,8.35,25.871285,35.081805,34.19691,4380
32,73,4.151339989,4.85,8.8,26.60394,32.61742,35.92864,4780.212899
32,75,3.73095113,4.85,8.4,26.01401,39.496765,29.639225,4132.756465
31,80,3.783499737,4.85,8.45,28.421305,38.145635,28.58306,4259.919416
32,79,3.31056227,4.85,8,25.719045,37.841155,31.5898,4288.575856
32,77,3.712663021,4.92,8.45,24.349988,36.833992,33.89602,4197
31,80,3.607488431,4.92,8.35,24.511624,38.117572,32.450804,4252.371394
31,80,3.344551956,4.92,8.1,24.05524,49.764872,21.259888,3156.174107
31,81,3.397139251,4.92,8.15,29.37972,34.770756,30.929524,4567.360328
31,79,3.40765671,4.92,8.16,25.500456,39.496232,30.083312,4122.617429
31,72,3.502313841,4.92,8.25,26.774528,40.475556,27.829916,4030.447372
31,80,3.975599495,4.92,8.7,26.793544,43.004684,25.281772,3792.415961
31,81,3.870424905,4.92,8.6,27.535168,39.210992,28.33384,4149.463077
31,85,3.765250316,4.92,8.5,28.409904,35.493364,31.176732,4499.351354
32,61,3.473684211,5,8.3,26.486,36.6415,31.8725,4379.648586
32,72,3.263157895,5,8.1,30.6565,27.816,36.5275,5210.269344
32,63,4.421052632,5,9.2,28.5095,33.4685,33.022,4678.278654
32,61,3.684210526,5,8.5,28.842,32.737,33.421,4747.124508
32,57,3.789473684,5,8.6,27.7685,27.721,39.5105,5219.210364
32,62,4,5,8.8,28.291,34.219,32.49,4607.644596
32,64,3.473684211,5,8.3,30.0485,26.904,38.0475,5296.103136
32,67,3.842105263,5,8.65,29.298,27.493,38.209,5240.668812
32,73,3.789473684,5,8.6,28.4335,30.438,36.1285,4963.497192
32,75,3.263157895,5,8.1,26.6285,36.385,31.9865,4403.78934
31,80,3.421052632,5,8.25,33.041,27.113,34.846,5276.432892
32,79,3.578947368,5,8.4,30.134,24.3865,40.4795,5533.040166
31,80,3.052631579,5,7.9,27.056,29.4595,38.4845,5055.589698
31,81,2.947368421,5,7.8,31.6065,29.146,34.2475,5085.095064
31,81,3.473684211,5,8.3,31.863,27.3125,35.8245,5257.65675
30,82,3.864378225,5.03,8.7,29.982029,31.928914,33.059057,4818.81153
30,85,3.864378225,5.03,8.7,29.72561,30.171969,35.072421,4984.168166
30,83,3.464251869,5.03,8.32,30.342915,34.103727,30.523358,4614.12683
31,86,3.337896178,5.03,8.2,29.098808,33.856805,32.014387,4637.366141
31,80,3.548488997,5.03,8.4,30.608831,30.285933,34.075236,4973.44233
31,81,3.495840792,5.03,8.35,27.759731,32.223321,34.986948,4791.103121
31,84,3.822259661,5.03,8.66,29.963035,27.997156,37.009809,5188.852866
31,85,3.390544382,5.03,8.25,31.083681,30.551849,33.33447,4948.41538
30,84,3.285247973,5.03,8.15,28.415024,33.391452,33.163524,4681.163304
30,82,3.864378225,5.03,8.7,27.845204,32.555716,34.56908,4759.819433
32,62,3.25640215,5.11,8.2,26.5692,40.375695,27.945105,4012.189489
32,64,4.099483613,5.11,9,26.75898,34.966965,33.164055,4521.237522
31,86,3.548488997,5.03,8.4,31.216639,27.740737,36.012624,5212.985997
32,79,3.653785406,5.03,8.5,29.811083,27.246893,37.912024,5259.464618
30,84,3.443192587,5.03,8.3,31.786459,29.811083,33.372458,5018.133312
